,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Ontario,Education,"2,385",..,"1,479",..,F,"1,100",..,"1,071",..,"1,708","1,573",..,"1,634",..,958,"2,554",..,"1,797",..,"2,022","3,636",..,"4,308",..,"4,181"
Ontario,Reading materials and other printed matter,48,..,126,..,95,156,..,111,..,164,132,..,133,..,238,139,..,267,..,253,296,..,220,..,342
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,021",..,728,..,..,"1,520",..,"1,224",..,..,"1,543",..,"1,655",..,..,"1,760",..,"1,796",..,..,"2,090",..,"2,244"
Ontario,Tobacco products and alcoholic beverages (Terminated),550t,..t,..t,..t,..t,Ft,..t,..t,..t,..t,"1,108t",..t,..t,..t,..t,"1,218t",..t,..t,..t,..t,"2,120t",..t,..t,..t,..t
Ontario,Games of chance,F,..,68,..,102,F,..,142,..,116,134,..,163,..,152,127,..,F,..,164,190,..,F,..,221
Ontario,Miscellaneous expenditures,784,..,756,..,579,"1,083",..,"1,174",..,F,"1,590",..,"1,689",..,"1,446","2,665",..,"2,279",..,"2,299","3,689",..,"3,370",..,"3,122"
Manitoba,Total expenditure,"35,990",..,"38,514",..,"38,752","50,457",..,"55,147",..,"55,145","73,639",..,"75,484",..,"80,129","102,104",..,"107,985",..,"100,662","163,828",..,"175,440",..,"164,095"
Manitoba,Food expenditures,"5,921",..,"5,747",..,"5,421","5,539",..,"7,684",..,"7,147","8,037",..,"8,951",..,"9,075","11,673",..,"12,608",..,"12,469","12,543",..,"14,755",..,"15,065"
Manitoba,Shelter,"9,218",..,"11,078",..,"11,558","12,621",..,"13,555",..,"13,185","15,536",..,"16,094",..,"17,089","17,884",..,"20,147",..,"19,639","23,616",..,"26,125",..,"27,605"
Manitoba,Household operations,"2,523",..,"2,718",..,"3,287","3,273",..,"3,701",..,"4,677","4,383",..,"4,587",..,"5,873","5,218",..,"6,171",..,"7,474","6,662",..,"8,053",..,"8,575"
Manitoba,Household furnishings and equipment,809,..,"1,043",..,"1,616","1,322",..,"1,492",..,"1,760","1,553",..,"2,550",..,"2,898","3,058",..,"2,510",..,"3,655","5,009",..,"4,539",..,"4,835"
Manitoba,Clothing and accessories,"1,561",..,"1,391",..,865,"2,206",..,"1,732",..,"1,679","2,906",..,"2,610",..,"1,878","4,002",..,"4,277",..,"2,572","6,553",..,"4,712",..,"3,954"
Manitoba,Private transportation,"6,066",..,"5,262",..,"5,191","8,334",..,"7,312",..,"7,246","13,070",..,"10,210",..,"12,643","16,022",..,"17,168",..,"12,394","18,204",..,"19,336",..,"16,494"
Manitoba,Public transportation,480,..,730,..,274,763,..,820,..,322,853,..,"1,169",..,337,"1,091",..,"1,586",..,380,"2,608",..,"2,265",..,847
Manitoba,Health care,"1,436",..,"1,638",..,"1,752","2,188",..,"2,626",..,"2,291","2,457",..,"3,227",..,"3,064","2,630",..,"2,940",..,"3,186","3,655",..,"3,989",..,"3,464"
Manitoba,Personal care,535,..,734,..,691,586,..,766,..,"1,094","1,030",..,"1,282",..,"1,586","1,611",..,"1,621",..,"1,755","1,864",..,"2,421",..,"2,175"
